generated_at,url,http_status,title,text_length,matched_terms,supernatural_terms,person_form_terms,lead_status,review_note,snippet
2026-06-21T14:34:42+00:00,https://libraries.tas.gov.au/educationtasmaniasora/,,,0,,,,fetch_failed,"HTTPSConnectionPool(host='libraries.tas.gov.au', port=443): Max retries exceeded with url: /educationtasmaniasora/ (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1028)')))",
2026-06-21T14:34:42+00:00,https://libraries.tas.gov.au/elibrary/,200,eLibrary - Libraries Tasmania,4982,man,,man,weak_lead,"Review for person-form narrative, location role, source publicness, and duplication before seeding. Tourism pages are discovery-only unless backed by an institutional, archival, newspaper, book, or community-controlled public source.","eLibrary - Libraries Tasmania Skip to main content Join Locations + Hours Search My Account Menu Using the library Membership and borrowing Book Groups Copies from our collections Home Library Service Internet access Library app Meeting rooms for hire Tell us or contribute Get help General enquiries Research and finding information Lifelong learning Reading, writing and maths help Study support with Studiosity Discov"
2026-06-21T14:34:43+00:00,https://libraries.tas.gov.au/elibrary/elibrary-books-and-audiobooks/,200,eLibrary books and audiobooks - Libraries Tasmania,6833,man,,man,weak_lead,"Review for person-form narrative, location role, source publicness, and duplication before seeding. Tourism pages are discovery-only unless backed by an institutional, archival, newspaper, book, or community-controlled public source.","eLibrary books and audiobooks - Libraries Tasmania Skip to main content Join Locations + Hours Search My Account Menu Using the library Membership and borrowing Book Groups Copies from our collections Home Library Service Internet access Library app Meeting rooms for hire Tell us or contribute Get help General enquiries Research and finding information Lifelong learning Reading, writing and maths help Study support w"
2026-06-21T14:34:43+00:00,https://libraries.tas.gov.au/elibrary/elibrary-languages-and-literacy/,200,eLibrary languages and literacy - Libraries Tasmania,5915,man,,man,weak_lead,"Review for person-form narrative, location role, source publicness, and duplication before seeding. Tourism pages are discovery-only unless backed by an institutional, archival, newspaper, book, or community-controlled public source.","eLibrary languages and literacy - Libraries Tasmania Skip to main content Join Locations + Hours Search My Account Menu Using the library Membership and borrowing Book Groups Copies from our collections Home Library Service Internet access Library app Meeting rooms for hire Tell us or contribute Get help General enquiries Research and finding information Lifelong learning Reading, writing and maths help Study support"
2026-06-21T14:34:44+00:00,https://libraries.tas.gov.au/elibrary/elibrary-magazines-and-newspapers/,200,eLibrary magazines and newspapers - Libraries Tasmania,7868,man,,man,weak_lead,"Review for person-form narrative, location role, source publicness, and duplication before seeding. Tourism pages are discovery-only unless backed by an institutional, archival, newspaper, book, or community-controlled public source.","eLibrary magazines and newspapers - Libraries Tasmania Skip to main content Join Locations + Hours Search My Account Menu Using the library Membership and borrowing Book Groups Copies from our collections Home Library Service Internet access Library app Meeting rooms for hire Tell us or contribute Get help General enquiries Research and finding information Lifelong learning Reading, writing and maths help Study suppo"
2026-06-21T14:34:44+00:00,https://libraries.tas.gov.au/elibrary/elibrary-music-and-films/,200,eLibrary music and films - Libraries Tasmania,5757,legend;man,legend,man,review_candidate,"Review for person-form narrative, location role, source publicness, and duplication before seeding. Tourism pages are discovery-only unless backed by an institutional, archival, newspaper, book, or community-controlled public source.","eLibrary music and films - Libraries Tasmania Skip to main content Join Locations + Hours Search My Account Menu Using the library Membership and borrowing Book Groups Copies from our collections Home Library Service Internet access Library app Meeting rooms for hire Tell us or contribute Get help General enquiries Research and finding information Lifelong learning Reading, writing and maths help Study support with S"
2026-06-21T14:34:45+00:00,https://libraries.tas.gov.au/elibrary/elibrary-newspaper-archives/,200,eLibrary newspaper archives : 1600s to 2021 - Libraries Tasmania,6513,man,,man,weak_lead,"Review for person-form narrative, location role, source publicness, and duplication before seeding. Tourism pages are discovery-only unless backed by an institutional, archival, newspaper, book, or community-controlled public source.","eLibrary newspaper archives : 1600s to 2021 - Libraries Tasmania Skip to main content Join Locations + Hours Search My Account Menu Using the library Membership and borrowing Book Groups Copies from our collections Home Library Service Internet access Library app Meeting rooms for hire Tell us or contribute Get help General enquiries Research and finding information Lifelong learning Reading, writing and maths help S"
2026-06-21T14:34:45+00:00,https://libraries.tas.gov.au/elibrary/elibrary-research-and-reference/,200,eLibrary research and reference - Libraries Tasmania,7247,man,,man,weak_lead,"Review for person-form narrative, location role, source publicness, and duplication before seeding. Tourism pages are discovery-only unless backed by an institutional, archival, newspaper, book, or community-controlled public source.","eLibrary research and reference - Libraries Tasmania Skip to main content Join Locations + Hours Search My Account Menu Using the library Membership and borrowing Book Groups Copies from our collections Home Library Service Internet access Library app Meeting rooms for hire Tell us or contribute Get help General enquiries Research and finding information Lifelong learning Reading, writing and maths help Study support"
2026-06-21T14:34:46+00:00,https://libraries.tas.gov.au/enterprise-help/,200,"Searching, placing holds, My Account and My Lists help - Libraries Tasmania",5324,man,,man,weak_lead,"Review for person-form narrative, location role, source publicness, and duplication before seeding. Tourism pages are discovery-only unless backed by an institutional, archival, newspaper, book, or community-controlled public source.","Searching, placing holds, My Account and My Lists help - Libraries Tasmania Skip to main content Join Locations + Hours Search My Account Menu Using the library Membership and borrowing Book Groups Copies from our collections Home Library Service Internet access Library app Meeting rooms for hire Tell us or contribute Get help General enquiries Research and finding information Lifelong learning Reading, writing and m"
2026-06-21T14:34:47+00:00,https://libraries.tas.gov.au/enterprise-help/book-groups-tasmania-catalogue-help/,200,Book Groups Tasmania Catalogue help - Libraries Tasmania,14952,man,,man,weak_lead,"Review for person-form narrative, location role, source publicness, and duplication before seeding. Tourism pages are discovery-only unless backed by an institutional, archival, newspaper, book, or community-controlled public source.","Book Groups Tasmania Catalogue help - Libraries Tasmania Skip to main content Join Locations + Hours Search My Account Menu Using the library Membership and borrowing Book Groups Copies from our collections Home Library Service Internet access Library app Meeting rooms for hire Tell us or contribute Get help General enquiries Research and finding information Lifelong learning Reading, writing and maths help Study sup"
