sample_id,source_population,lead_id,lead_type,constraint_blocker,source_family,route_family,priority_bucket,lead_score,source_name,source_tier,target_state,inferred_year,temporal_signal_present,term_signal_present,place_signal_present,url_domain,duplicate_status,sample_stratum,redaction_note,source_chain_complete,original_source_identifiable,evidence_source_adequate,date_available,term_available,source_stated_place_available,ethics_sensitive,record_eligible,map_eligible,reason_not_eligible,reviewer_notes
audit_021,target_gap_leads,tgl_afb3e32c352929ec29a3c80c,METADATA_ONLY_1955_1976_LEAD,missing_term,state_archive_catalogue,state_archive_catalogue,PRIORITY_LEAD,100.0,Tasmanian Archives,A,TAS,1961,1,0,1,libraries.tas.gov.au,unchecked,missing_term / state_archive_catalogue,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_022,target_gap_leads,tgl_992b4e5712d4272a1da23158,METADATA_ONLY_1955_1976_LEAD,strict_record_gate_not_met,museum_heritage_page,museum_heritage_page,PRIORITY_LEAD,100.0,Adelaide Gaol,B,SA,1956,1,1,1,adelaidegaol.sa.gov.au,unchecked,strict_record_gate_not_met / museum_heritage_page,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_023,target_gap_leads,tgl_35ecb5aae7a8e02a178cab8e,METADATA_ONLY_1955_1976_LEAD,strict_record_gate_not_met,state_archive_catalogue,state_archive_catalogue,PRIORITY_LEAD,100.0,ArchivesACT / ACT Memory,A,ACT,1959,1,1,1,archives.act.gov.au,unchecked,strict_record_gate_not_met / state_archive_catalogue,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_024,target_gap_leads,tgl_bf0b2f7e16aa5eefa1037258,ROBOTS_BLOCKED_NEAR_MISS,robots_unknown,ATOM_AtoM,museum_heritage_page,BLOCKED_ROBOTS,85.0,Western Australian Museum,A,WA,1940,1,0,0,museum.wa.gov.au,duplicate,robots_unknown / ATOM_AtoM,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_025,target_gap_leads,tgl_df120d0c3d24de8cb4bd248f,SOURCE_ATLAS_ROUTE_LEAD,missing_item_url,council_local_studies,council_local_studies,PRIORITY_LEAD,100.0,Kalgoorlie-Boulder Local History,B,WA,1950,1,1,1,ckb.wa.gov.au,unchecked,missing_item_url / council_local_studies,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_026,target_gap_leads,tgl_ee5948d83411023a100635f6,METADATA_ONLY_1955_1976_LEAD,strict_record_gate_not_met,museum_heritage_page,museum_heritage_page,PRIORITY_LEAD,100.0,Fremantle Prison,B,WA,1955,1,1,1,fremantleprison.com.au,unchecked,strict_record_gate_not_met / museum_heritage_page,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_027,target_gap_leads,tgl_2887e4e7f69f90034dcbcf09,METADATA_ONLY_1955_1976_LEAD,strict_record_gate_not_met,structured_endpoint,museum_heritage_page,PRIORITY_LEAD,100.0,Western Australian Museum,A,WA,1940,1,1,1,museum.wa.gov.au,duplicate,strict_record_gate_not_met / structured_endpoint,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_028,target_gap_leads,tgl_3919671cd73b2f1e61537679,SOURCE_ATLAS_ROUTE_LEAD,missing_item_url,broadcast_catalogue,broadcast_catalogue,PRIORITY_LEAD,100.0,Australian Screen Online,C,TAS,1927,1,1,1,aso.gov.au,unchecked,missing_item_url / broadcast_catalogue,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_029,target_gap_leads,tgl_081e814a620c13e4e9c41f98,METADATA_ONLY_1955_1976_LEAD,missing_term,state_library_catalogue,state_library_catalogue,PRIORITY_LEAD,100.0,Library & Archives NT Catalogue,A,NT,1958,1,0,1,lant.nt.gov.au,unchecked,missing_term / state_library_catalogue,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_030,target_gap_leads,tgl_b54cd178c3ba10243b65626f,DATE_NO_TERM_LEAD,missing_term,structured_endpoint,broadcast_catalogue,PRIORITY_LEAD,100.0,NFSA Collection,A,NATIONAL,1935,1,0,1,nfsa.gov.au,canonical,missing_term / structured_endpoint,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
