record_id,old_record_id_or_candidate_id,previous_place,previous_latitude,previous_longitude,previous_location_role,current_place_name,current_state_territory,current_country,current_latitude,current_longitude,current_location_type,current_relation_type,current_verification_status,current_geocode_source,source_evidence_text,queue_reason,required_source_place_confirmation,required_gazetteer_coordinate_verification,required_state_match_check,required_not_publication_place_check,required_verification_status_update,promotion_status,review_note
708,708,"Sydney, NSW",-33.8698439,151.2082848,reported_place,"Sydney, NSW",NSW,Australia,-33.8698439,151.2082848,locality,reported_place,source_named_place_needs_geocode,ayr_public_page_location_field,1912 (2) - Sydney Sun Article,withheld_from_public_map_until_independent_geocode_verification,passed,passed,passed,passed,passed,promoted,"Nominatim gazetteer verified Sydney, New South Wales, Australia; distance from queued coordinate 0.0 km; source-stated place evidence: 1912 (2) - Sydney Sun Article"
712,712,"Brisbane, QLD",-27.4689623,153.0235009,reported_place,"Brisbane, QLD",QLD,Australia,-27.4689623,153.0235009,locality,reported_place,source_named_place_needs_geocode,ayr_public_page_location_field,1928 - Brisbane Courier,withheld_from_public_map_until_independent_geocode_verification,passed,passed,passed,passed,passed,promoted,"Nominatim gazetteer verified Brisbane, Queensland, Australia; distance from queued coordinate 0.0 km; source-stated place evidence: 1928 - Brisbane Courier"
824,824,"Sydney, NSW",-33.8698439,151.2082848,reported_place,"Sydney, NSW",NSW,Australia,-33.8698439,151.2082848,locality,reported_place,source_named_place_needs_geocode,ayr_public_page_location_field,1935 - Sydney Morning Herald,withheld_from_public_map_until_independent_geocode_verification,passed,passed,passed,passed,passed,promoted,"Nominatim gazetteer verified Sydney, New South Wales, Australia; distance from queued coordinate 0.0 km; source-stated place evidence: 1935 - Sydney Morning Herald"
855,855,"Melbourne, VIC",-37.8142454,144.9631732,reported_place,"Melbourne, VIC",VIC,Australia,-37.8142454,144.9631732,locality,reported_place,source_named_place_needs_geocode,ayr_public_page_location_field,1861 - The Argus Yowie Article,withheld_from_public_map_until_independent_geocode_verification,passed,passed,passed,passed,passed,promoted,"Nominatim gazetteer verified Melbourne, Victoria, 3000, Australia; distance from queued coordinate 0.0 km; source-stated place evidence: 1861 - The Argus Yowie Article"
856,856,"Sydney, NSW",-33.8698439,151.2082848,reported_place,"Sydney, NSW",NSW,Australia,-33.8698439,151.2082848,locality,reported_place,source_named_place_needs_geocode,ayr_public_page_location_field,1871 - Sydney Herald Yowie Article,withheld_from_public_map_until_independent_geocode_verification,passed,passed,passed,passed,passed,promoted,"Nominatim gazetteer verified Sydney, New South Wales, Australia; distance from queued coordinate 0.0 km; source-stated place evidence: 1871 - Sydney Herald Yowie Article"
859,859,"Sydney, NSW",-33.8698439,151.2082848,reported_place,"Sydney, NSW",NSW,Australia,-33.8698439,151.2082848,locality,reported_place,source_named_place_needs_geocode,ayr_public_page_location_field,1877 - Sydney Morning Herald Yowie Article,withheld_from_public_map_until_independent_geocode_verification,passed,passed,passed,passed,passed,promoted,"Nominatim gazetteer verified Sydney, New South Wales, Australia; distance from queued coordinate 0.0 km; source-stated place evidence: 1877 - Sydney Morning Herald Yowie Article"
863,863,"Sydney, NSW",-33.8698439,151.2082848,reported_place,"Sydney, NSW",NSW,Australia,-33.8698439,151.2082848,locality,reported_place,source_named_place_needs_geocode,ayr_public_page_location_field,1892 - Sydney Mail Yowie Article,withheld_from_public_map_until_independent_geocode_verification,passed,passed,passed,passed,passed,promoted,"Nominatim gazetteer verified Sydney, New South Wales, Australia; distance from queued coordinate 0.0 km; source-stated place evidence: 1892 - Sydney Mail Yowie Article"
867,867,"Melbourne, VIC",-37.8142454,144.9631732,reported_place,"Melbourne, VIC",VIC,Australia,-37.8142454,144.9631732,locality,reported_place,source_named_place_needs_geocode,ayr_public_page_location_field,1903 - Delegate Argus Yowie Article,withheld_from_public_map_until_independent_geocode_verification,passed,passed,passed,passed,passed,promoted,"Nominatim gazetteer verified Melbourne, Victoria, 3000, Australia; distance from queued coordinate 0.0 km; source-stated place evidence: 1903 - Delegate Argus Yowie Article"
881,881,"Sydney, NSW",-33.8698439,151.2082848,reported_place,"Sydney, NSW",NSW,Australia,-33.8698439,151.2082848,locality,reported_place,source_named_place_needs_geocode,ayr_public_page_location_field,1912 - Sydney Morning Heald Yowie Article,withheld_from_public_map_until_independent_geocode_verification,passed,passed,passed,passed,passed,promoted,"Nominatim gazetteer verified Sydney, New South Wales, Australia; distance from queued coordinate 0.0 km; source-stated place evidence: 1912 - Sydney Morning Heald Yowie Article"
888,888,"Sydney, NSW",-33.8698439,151.2082848,reported_place,"Sydney, NSW",NSW,Australia,-33.8698439,151.2082848,locality,reported_place,source_named_place_needs_geocode,ayr_public_page_location_field,1964 - Sydney Herald Yowie Article,withheld_from_public_map_until_independent_geocode_verification,passed,passed,passed,passed,passed,promoted,"Nominatim gazetteer verified Sydney, New South Wales, Australia; distance from queued coordinate 0.0 km; source-stated place evidence: 1964 - Sydney Herald Yowie Article"
