schema_version,legacy_record_id,source_item_id,narrative_id,primary_record_role,migration_confidence,review_flags,title,source_type,source_tier,narrative_type,secondary_role,analysis_status,ethics_review_status,display_mode
2.0.0,201,195,193,first-class narrative source,medium,[],"Nanango, Queensland 2015",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,202,196,194,first-class narrative source,medium,[],"Glenbar, Queensland 2016",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,203,197,195,first-class narrative source,medium,[],"Ormeau Hills, Queensland 2016",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,204,198,196,first-class narrative source,medium,[],"Yandina, Queensland 2016",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,205,199,197,first-class narrative source,medium,[],"Ormeau / Kingsholme, Queensland 2017",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,206,200,198,first-class narrative source,medium,[],"Agnes Waters, Queensland 2018",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,207,201,199,first-class narrative source,medium,[],"Nunimbah Valley, Queensland 2018",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,208,202,200,first-class narrative source,medium,[],"Witheren, Queensland 2018",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,209,203,201,first-class narrative source,medium,[],"Currumbin Valley, Queensland 2019 (3)",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,210,204,202,first-class narrative source,medium,[],"Kilkivan, Queensland 2019",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,211,205,203,first-class narrative source,medium,[],"Bellbird Grove, Queensland 2020",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,212,206,204,first-class narrative source,medium,[],"Moore Park Beach / Bundaberg, Queensland 2021",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,213,207,205,first-class narrative source,medium,[],"Mount Nebo, Queensland 2023",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,214,208,206,first-class narrative source,medium,[],"Bemm River, Victoria 2007",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,215,209,207,first-class narrative source,medium,[],"Aboriginal P.O.V, New South Wales 2001",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,216,210,208,first-class narrative source,medium,[],"Advancetown, Queensland 1985",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,217,211,209,first-class narrative source,medium,[],"Benambra, Victoria 1985",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,218,212,210,first-class narrative source,medium,[],"Alstonville, New South Wales 1997",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,219,213,211,first-class narrative source,medium,[],"Aratula, Queensland 2018",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,220,214,212,first-class narrative source,medium,[],"Bendigo (area), Victoria 2010",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
