record_id,title,source_name,source_type,state_territory,date_band,year,ontology_code,url
1776,"witch in Queensland, Australia",Internet Archive,repository_full_text,QLD,anchor_1842_1875,1861,retelling_or_adaptation,https://archive.org/download/queenslandaustr00langgoog/queenslandaustr00langgoog_djvu.txt
1777,"witch in Queensland, Australia",Internet Archive,repository_full_text,QLD,anchor_1842_1875,1861,retelling_or_adaptation,https://archive.org/download/queenslandaustr00langgoog/queenslandaustr00langgoog_djvu.txt
1778,"giant in Queensland, Australia",Internet Archive,repository_full_text,QLD,anchor_1842_1875,1861,giant_or_ogre_narrative,https://archive.org/download/queenslandaustr00langgoog/queenslandaustr00langgoog_djvu.txt
1779,"giant in Queensland, Australia",Internet Archive,repository_full_text,QLD,anchor_1842_1875,1861,giant_or_ogre_narrative,https://archive.org/download/queenslandaustr00langgoog/queenslandaustr00langgoog_djvu.txt
1780,"supernatural in Queensland, Australia",Internet Archive,repository_full_text,QLD,anchor_1842_1875,1861,spirit_person_narrative,https://archive.org/download/queenslandaustr00langgoog/queenslandaustr00langgoog_djvu.txt
1781,"Baiame in Queensland, Australia",Internet Archive,repository_full_text,QLD,anchor_1842_1875,1861,spirit_person_narrative,https://archive.org/download/queenslandaustr00langgoog/queenslandaustr00langgoog_djvu.txt
1782,"supernatural in Queensland, Australia",Internet Archive,repository_full_text,QLD,anchor_1842_1875,1861,spirit_person_narrative,https://archive.org/download/queenslandaustr00langgoog/queenslandaustr00langgoog_djvu.txt
1783,"supernatural in Queensland, Australia",Internet Archive,repository_full_text,QLD,anchor_1842_1875,1861,spirit_person_narrative,https://archive.org/download/queenslandaustr00langgoog/queenslandaustr00langgoog_djvu.txt
1784,"Baiame in Queensland, Australia",Internet Archive,repository_full_text,QLD,anchor_1842_1875,1861,spirit_person_narrative,https://archive.org/download/queenslandaustr00langgoog/queenslandaustr00langgoog_djvu.txt
1785,"apparition in Queensland, Australia",Internet Archive,repository_full_text,QLD,anchor_1842_1875,1861,spirit_person_narrative,https://archive.org/download/queenslandaustr00langgoog/queenslandaustr00langgoog_djvu.txt
3716,"spirit in Queensland, Australia",Internet Archive,repository_full_text,QLD,anchor_1842_1875,1861,spirit_person_narrative,https://archive.org/download/queenslandaustr00langgoog/queenslandaustr00langgoog_djvu.txt
3717,"spirit in Queensland, Australia",Internet Archive,repository_full_text,QLD,anchor_1842_1875,1861,spirit_person_narrative,https://archive.org/download/queenslandaustr00langgoog/queenslandaustr00langgoog_djvu.txt
3718,"spirit in Queensland, Australia",Internet Archive,repository_full_text,QLD,anchor_1842_1875,1861,spirit_person_narrative,https://archive.org/download/queenslandaustr00langgoog/queenslandaustr00langgoog_djvu.txt
3719,"spirit in Queensland, Australia",Internet Archive,repository_full_text,QLD,anchor_1842_1875,1861,spirit_person_narrative,https://archive.org/download/queenslandaustr00langgoog/queenslandaustr00langgoog_djvu.txt
3720,"spirits in Queensland, Australia",Internet Archive,repository_full_text,QLD,anchor_1842_1875,1861,spirit_person_narrative,https://archive.org/download/queenslandaustr00langgoog/queenslandaustr00langgoog_djvu.txt
3721,"spirit in Queensland, Australia",Internet Archive,repository_full_text,QLD,anchor_1842_1875,1861,spirit_person_narrative,https://archive.org/download/queenslandaustr00langgoog/queenslandaustr00langgoog_djvu.txt
3722,"spirits in Queensland, Australia",Internet Archive,repository_full_text,QLD,anchor_1842_1875,1861,spirit_person_narrative,https://archive.org/download/queenslandaustr00langgoog/queenslandaustr00langgoog_djvu.txt
3723,"spirit in Queensland, Australia",Internet Archive,repository_full_text,QLD,anchor_1842_1875,1861,spirit_person_narrative,https://archive.org/download/queenslandaustr00langgoog/queenslandaustr00langgoog_djvu.txt
3724,"spirit in Queensland, Australia",Internet Archive,repository_full_text,QLD,anchor_1842_1875,1861,spirit_person_narrative,https://archive.org/download/queenslandaustr00langgoog/queenslandaustr00langgoog_djvu.txt
3725,"spirit in Queensland, Australia",Internet Archive,repository_full_text,QLD,anchor_1842_1875,1861,spirit_person_narrative,https://archive.org/download/queenslandaustr00langgoog/queenslandaustr00langgoog_djvu.txt
3726,"ghosts in Queensland, Australia",Internet Archive,repository_full_text,QLD,anchor_1842_1875,1861,apparition_account,https://archive.org/download/queenslandaustr00langgoog/queenslandaustr00langgoog_djvu.txt
3727,"ghosts in Queensland, Australia",Internet Archive,repository_full_text,QLD,anchor_1842_1875,1861,apparition_account,https://archive.org/download/queenslandaustr00langgoog/queenslandaustr00langgoog_djvu.txt
3728,"witch in Queensland, Australia",Internet Archive,repository_full_text,QLD,anchor_1842_1875,1861,retelling_or_adaptation,https://archive.org/download/queenslandaustr00langgoog/queenslandaustr00langgoog_djvu.txt
3729,"spirit in Queensland, Australia",Internet Archive,repository_full_text,QLD,anchor_1842_1875,1861,spirit_person_narrative,https://archive.org/download/queenslandaustr00langgoog/queenslandaustr00langgoog_djvu.txt
643,"1866 - Peter Harris Diary, Toowareenah NSW",Australian Yowie Research,modern_web,NSW,anchor_1842_1875,1866,cryptid_style_apeman,https://www.yowiehunters.com.au/historical-articles/1874-1866-peter-harris-diary-toowareenah-nsw
644,1866 - Sydney Morning Herald,Australian Yowie Research,modern_web,NSW,anchor_1842_1875,1866,cryptid_style_apeman,https://www.yowiehunters.com.au/historical-articles/1931-1866-sydney-morning-herald
645,"1868 - Empire, Australian Gorilla",Australian Yowie Research,modern_web,NSW,anchor_1842_1875,1868,cryptid_style_apeman,https://www.yowiehunters.com.au/historical-articles/1932-1868-empire-australian-gorilla
84,"Braidwood, New South Wales 1870",Australian Yowie Research,modern_web,NSW,anchor_1842_1875,1870,cryptid_style_apeman,https://www.yowiehunters.com.au/new-south-wales/1361-braidwood-new-south-wales-1870
646,1870 - The Naturalist Article,Australian Yowie Research,modern_web,NSW,anchor_1842_1875,1870,cryptid_style_apeman,https://www.yowiehunters.com.au/historical-articles/1588-the-naturalist-article-1870
604,"Warneton, New South Wales 1871",Australian Yowie Research,modern_web,NSW,anchor_1842_1875,1871,cryptid_style_apeman,https://www.yowiehunters.com.au/new-south-wales/1460-waneton-new-south-wales-1871
